OD,Concentration
1,0.009999833
2,0.019998667
2,0.019998667
3,0.0299955
4,0.039989334
6,0.059964006
7,0.069942847
8,0.079914694
9,0.089878549
10,0.099833417
10,0.099833417
10,0.099833417
11,0.109778301
12,0.119712207
15,0.149438132
17,0.169182349
19,0.188858895
22,0.218229623
23,0.227977524
26,0.257080552
27,0.266731437
27,0.266731437
30,0.295520207
31,0.305058636
32,0.314566561
32,0.314566561
32,0.314566561
33,0.324043028
33,0.324043028
35,0.342897807
37,0.361615432
38,0.370920469
40,0.389418342
41,0.398609328
41,0.398609328
43,0.416870802
44,0.425939465
44,0.425939465
45,0.434965534
46,0.443948107
47,0.452886285
49,0.470625888
49,0.470625888
51,0.488177247
52,0.496880138
52,0.496880138
54,0.514135992
63,0.589144758
66,0.613116852
67,0.620985987
69,0.636537182
69,0.636537182
69,0.636537182
71,0.651833771
71,0.651833771
76,0.688921445
76,0.688921445
76,0.688921445
77,0.696135239
84,0.74464312
86,0.757842563
87,0.764328937
88,0.770738879
92,0.79560162
93,0.801619941
94,0.8075581
94,0.8075581
95,0.813415505
97,0.824885713
99,0.836025979
99,0.836025979
101,0.846831845
105,0.867423226
105,0.867423226
106,0.872355482
107,0.877200504
107,0.877200504
107,0.877200504
108,0.881957807
110,0.89120736
113,0.904412189
114,0.908633496
116,0.916803109
117,0.920750598
117,0.920750598
119,0.928368967
120,0.932039086
122,0.939099356
122,0.939099356
123,0.942488802
124,0.945783999
126,0.952090342
128,0.95801586
136,0.977864602
136,0.977864602
137,0.979908061
137,0.979908061
138,0.98185353
139,0.983700815
140,0.98544973
140,0.98544973
142,0.988651763
142,0.988651763
143,0.99010456
147,0.99492435
149,0.996737752
152,0.998710144
152,0.998710144
153,0.999167945
157,0.999999683
158,0.999957646
160,0.999573603
160,0.999573603
163,0.998247974
164,0.997606381
164,0.997606381
165,0.996865028
166,0.99602399
167,0.99508335
167,0.99508335
169,0.992903651
171,0.990326804
172,0.988889766
172,0.988889766
175,0.983985947
176,0.982154317
177,0.980224473
177,0.980224473
177,0.980224473
179,0.976070922
181,0.971526956
183,0.966594392
184,0.963982996
185,0.961275203
187,0.955571517
187,0.955571517
188,0.952576194
189,0.949485615
190,0.946300088
190,0.946300088
198,0.917437955
199,0.913413361
200,0.909297427
201,0.905090563
203,0.896405741
204,0.891928651
204,0.891928651
205,0.887362369
205,0.887362369
206,0.882707351
209,0.868214583
209,0.868214583
210,0.863209367
212,0.852940482
213,0.84767784
214,0.842330432
215,0.836898791
216,0.831383461
219,0.814340892
220,0.808496404
221,0.802571066
223,0.790480222
224,0.784315925
230,0.745705212
231,0.739005278
232,0.732231444
232,0.732231444
234,0.718464793
243,0.653040752
244,0.645434998
245,0.637764702
245,0.637764702
247,0.622233555
248,0.614374258
248,0.614374258
250,0.598472144
251,0.590430918
252,0.58233065
252,0.58233065
256,0.549355436
256,0.549355436
258,0.532534908
259,0.524044342
260,0.515501372
261,0.506906852
269,0.436399082
270,0.42737988
270,0.42737988
270,0.42737988
272,0.40921417
274,0.390884779
274,0.390884779
275,0.381660992
277,0.363099847
281,0.325549335
281,0.325549335
284,0.297041351
287,0.268266051
289,0.248946787
293,0.210017299
294,0.200229985
294,0.200229985
295,0.190422647
300,0.141120008
302,0.121293255
304,0.101417986
305,0.091464642
306,0.081502152
307,0.071531511
307,0.071531511
309,0.051569768
309,0.051569768
310,0.041580662
312,0.021590976
316,-0.018406307
320,-0.058374143
321,-0.068354006
321,-0.068354006
322,-0.078327033
322,-0.078327033
325,-0.108195135
326,-0.118130856
329,-0.147863174
332,-0.177462425
334,-0.197108173
336,-0.21667508
337,-0.226426522
338,-0.236155321
338,-0.236155321
339,-0.245860504
341,-0.265196146
342,-0.27482467
343,-0.284425713
343,-0.284425713
343,-0.284425713
343,-0.284425713
344,-0.293998312
346,-0.313054359
348,-0.331985188
350,-0.350783228
354,-0.387950918
354,-0.387950918
354,-0.387950918
355,-0.397148167
355,-0.397148167
360,-0.442520443
-1,-0.009999833
-2,-0.019998667
-3,-0.0299955
-4,-0.039989334
-5,-0.049979169
-6,-0.059964006
-7,-0.069942847
-8,-0.079914694
-9,-0.089878549
-10,-0.099833417
-11,-0.109778301
-12,-0.119712207
-13,-0.129634143
-14,-0.139543115
-15,-0.149438132
-16,-0.159318207
-17,-0.169182349
-18,-0.179029573
-19,-0.188858895
-20,-0.198669331
-21,-0.2084599
-22,-0.218229623
-23,-0.227977524
-24,-0.237702626
-25,-0.247403959
-26,-0.257080552
-27,-0.266731437
-28,-0.276355649
-29,-0.285952225
-30,-0.295520207
-31,-0.305058636
-32,-0.314566561
-33,-0.324043028
-34,-0.333487092
-35,-0.342897807
-36,-0.352274233
-37,-0.361615432
-38,-0.370920469
-39,-0.380188415
-40,-0.389418342
-41,-0.398609328
-42,-0.407760453
-43,-0.416870802
-44,-0.425939465
-45,-0.434965534
-46,-0.443948107
-47,-0.452886285
-48,-0.461779176
-49,-0.470625888
-50,-0.479425539
-51,-0.488177247
-52,-0.496880138
-53,-0.505533341
-54,-0.514135992
-55,-0.522687229
-56,-0.531186198
-57,-0.539632049
-58,-0.548023937
-59,-0.556361023
-60,-0.564642473
-61,-0.57286746
-62,-0.581035161
-63,-0.589144758
-64,-0.597195441
-65,-0.605186406
-66,-0.613116852
-67,-0.620985987
-68,-0.628793024
-69,-0.636537182
-70,-0.644217687
-71,-0.651833771
-72,-0.659384672
-73,-0.666869635
-74,-0.674287912
-75,-0.68163876
-76,-0.688921445
-77,-0.696135239
-78,-0.703279419
-79,-0.710353272
-80,-0.717356091
-81,-0.724287174
-82,-0.73114583
-83,-0.737931371
-84,-0.74464312
-85,-0.751280405
-86,-0.757842563
-87,-0.764328937
-88,-0.770738879
-89,-0.777071748
-90,-0.78332691
-91,-0.78950374
-92,-0.79560162
-93,-0.801619941
-94,-0.8075581
-95,-0.813415505
-96,-0.819191568
-97,-0.824885713
-98,-0.83049737
-99,-0.836025979
-100,-0.841470985
-101,-0.846831845
-102,-0.852108022
-103,-0.857298989
-104,-0.862404227
-105,-0.867423226
-106,-0.872355482
-107,-0.877200504
-108,-0.881957807
-109,-0.886626914
-110,-0.89120736
-111,-0.895698686
-112,-0.900100442
-113,-0.904412189
-114,-0.908633496
-115,-0.91276394
-116,-0.916803109
-117,-0.920750598
-118,-0.924606012
-119,-0.928368967
-120,-0.932039086
-121,-0.935616002
-122,-0.939099356
-123,-0.942488802
-124,-0.945783999
-125,-0.948984619
-126,-0.952090342
-127,-0.955100856
-128,-0.95801586
-129,-0.960835064
-130,-0.963558185
-131,-0.966184952
-132,-0.9687151
-133,-0.971148378
-134,-0.973484542
-135,-0.975723358
-136,-0.977864602
-137,-0.979908061
-138,-0.98185353
-139,-0.983700815
-140,-0.98544973
-141,-0.987100101
-142,-0.988651763
-143,-0.99010456
-144,-0.991458348
-145,-0.992712991
-146,-0.993868363
-147,-0.99492435
-148,-0.995880845
-149,-0.996737752
-150,-0.997494987
-151,-0.998152472
-152,-0.998710144
-153,-0.999167945
-154,-0.999525831
-155,-0.999783764
-156,-0.99994172
-157,-0.999999683
-158,-0.999957646
-159,-0.999815615
-160,-0.999573603
-161,-0.999231634
-162,-0.998789743
-163,-0.998247974
-164,-0.997606381
-165,-0.996865028
-166,-0.99602399
-167,-0.99508335
-168,-0.994043202
-169,-0.992903651
-170,-0.99166481
-171,-0.990326804
-172,-0.988889766
-173,-0.98735384
-174,-0.985719179
-175,-0.983985947
-176,-0.982154317
-177,-0.980224473
-178,-0.978196607
-179,-0.976070922
-180,-0.973847631
-181,-0.971526956
-182,-0.969109129
-183,-0.966594392
-184,-0.963982996
-185,-0.961275203
-186,-0.958471283
-187,-0.955571517
-188,-0.952576194
-189,-0.949485615
-190,-0.946300088
-191,-0.943019931
-192,-0.939645474
-193,-0.936177052
-194,-0.932615014
-195,-0.928959715
-196,-0.925211521
-197,-0.921370806
-198,-0.917437955
-199,-0.913413361
-200,-0.909297427
-201,-0.905090563
-202,-0.900793192
-203,-0.896405741
-204,-0.891928651
-205,-0.887362369
-206,-0.882707351
-207,-0.877964063
-208,-0.87313298
-209,-0.868214583
-210,-0.863209367
-211,-0.85811783
-212,-0.852940482
-213,-0.84767784
-214,-0.842330432
-215,-0.836898791
-216,-0.831383461
-217,-0.825784993
-218,-0.820103948
-219,-0.814340892
-220,-0.808496404
-221,-0.802571066
-222,-0.796565472
-223,-0.790480222
-224,-0.784315925
-225,-0.778073197
-226,-0.771752662
-227,-0.765354953
-228,-0.758880708
-229,-0.752330576
-230,-0.745705212
-231,-0.739005278
-232,-0.732231444
-233,-0.725384387
-234,-0.718464793
-235,-0.711473353
-236,-0.704410766
-237,-0.697277738
-238,-0.690074984
-239,-0.682803222
-240,-0.675463181
-241,-0.668055593
-242,-0.660581201
-243,-0.653040752
-244,-0.645434998
-245,-0.637764702
-246,-0.63003063
-247,-0.622233555
-248,-0.614374258
-249,-0.606453523
-250,-0.598472144
-251,-0.590430918
-252,-0.58233065
-253,-0.574172148
-254,-0.56595623
-255,-0.557683717
-256,-0.549355436
-257,-0.54097222
-258,-0.532534908
-259,-0.524044342
-260,-0.515501372
-261,-0.506906852
-262,-0.498261642
-263,-0.489566607
-264,-0.480822615
-265,-0.472030541
-266,-0.463191265
-267,-0.45430567
-268,-0.445374645
-269,-0.436399082
-270,-0.42737988
-271,-0.418317941
-272,-0.40921417
-273,-0.400069478
-274,-0.390884779
-275,-0.381660992
-276,-0.372399039
-277,-0.363099847
-278,-0.353764345
-279,-0.344393467
-280,-0.33498815
-281,-0.325549335
-282,-0.316077964
-283,-0.306574986
-284,-0.297041351
-285,-0.287478012
-286,-0.277885926
-287,-0.268266051
-288,-0.25861935
-289,-0.248946787
-290,-0.239249329
-291,-0.229527947
-292,-0.219783612
-293,-0.210017299
-294,-0.200229985
-295,-0.190422647
-296,-0.180596268
-297,-0.170751829
-298,-0.160890315
-299,-0.151012712
-300,-0.141120008
-301,-0.131213192
-302,-0.121293255
-303,-0.111361189
-304,-0.101417986
-305,-0.091464642
-306,-0.081502152
-307,-0.071531511
-308,-0.061553717
-309,-0.051569768
-310,-0.041580662
-311,-0.031587398
-312,-0.021590976
-313,-0.011592394
-314,-0.001592653
-315,0.008407247
-316,0.018406307
-317,0.028403526
-318,0.038397905
-319,0.048388443
-320,0.058374143
-321,0.068354006
-322,0.078327033
-323,0.088292228
-324,0.098248594
-325,0.108195135
-326,0.118130856
-327,0.128054764
-328,0.137965867
-329,0.147863174
-330,0.157745694
-331,0.16761244
-332,0.177462425
-333,0.187294664
-334,0.197108173
-335,0.206901972
-336,0.21667508
-337,0.226426522
-338,0.236155321
-339,0.245860504
-340,0.255541102
-341,0.265196146
-342,0.27482467
-343,0.284425713
-344,0.293998312
-345,0.303541513
-346,0.313054359
-347,0.3225359
-348,0.331985188
-349,0.341401278
-350,0.350783228
-351,0.360130099
-352,0.369440959
-353,0.378714874
-354,0.387950918
-355,0.397148167
-356,0.406305702
-357,0.415422607
-358,0.424497969
-359,0.433530883
-360,0.442520443
